id,question
policy-001,What is the cancellation policy for private lessons?
policy-001,How much notice do I need to give to cancel a private lesson?
policy-001,Will I get a refund if I cancel my lesson late?
policy-002,How long can I book a court for my practice session?
policy-002,What time should I arrive before my court booking?
policy-002,Are there any specific time slots available for court bookings?
dropin-001,Is there a drop-in session for beginners at the club?
dropin-001,Do I need to register to attend the beginner drop-in?
dropin-001,Where is the beginner drop-in held?
coach-001,What type of training does Coach Amy focus on?
coach-001,Can I take private lessons with Coach Amy?
coach-001,Is Coach Amy available for teaching juniors?
coach-002,What kind of training does Coach David focus on?
coach-002,Can I get coaching from Coach David if I'm an intermediate player?
coach-002,Where can I find Coach David for lessons?
course-001,What is a private lesson in badminton?
course-001,Can I get coaching tailored to my skill level during a private lesson?
course-001,Where are the private lessons held?
course-002,What kind of lesson is available for small groups at the club?
course-002,Can I join a semi-private lesson with a friend who has the same skill level as me?
course-002,Where are the semi-private lessons held at the badminton club?
facility-001,What facilities does the club offer for playing badminton?
facility-001,Are there change rooms available at the club?
facility-001,Can I rent equipment for badminton at the facility?
faq-001,Can I rent a racket when I arrive at the club?
faq-001,Where do I go to rent a badminton racket?
faq-001,Is there a chance that rackets might not be available for rental?
faq-002,What should I bring with me for my badminton session?
faq-002,Do I need to bring my own badminton racket?
faq-002,What type of shoes are required for playing badminton here?
coach-001,My child is just starting badminton and needs help with movement basics. Which instructor would fit?
coach-001,Who should I choose for a junior player learning fundamental technique and footwork?
coach-001,I need an instructor experienced with both new players and children. Who is suitable?
course-001,I want the instructor's full attention and a session shaped around my personal goals. Which lesson should I choose?
course-001,Which coaching format is intended for one athlete rather than several players?
course-001,I do not want to share the coach with anyone else. What type of lesson fits?
course-002,Can my three teammates and I train together if we have approximately the same experience?
course-002,Which lesson format allows a few similarly skilled players to share one coaching session?
course-002,My friend and I want coaching together instead of separate individual sessions. What should we book?
dropin-001,I am inexperienced and want an informal playing session. Do I need to sign up first?
dropin-001,Which activity is appropriate for recreational players but has limited spaces?
dropin-001,I am new to badminton and prefer a casual session instead of customized coaching. What is available?
facility-001,Can I get changed and wait somewhere between games at the club?
facility-001,Besides playing courts what spaces and services are provided at the venue?
facility-001,Does the venue provide somewhere to change clothes and sit after playing?
faq-001,I arrived without a racquet. Where can I temporarily get one?
faq-001,If I forget my racket can I obtain one when I arrive and is it guaranteed?
faq-001,Where should I ask if I need to borrow playing equipment for the session?
faq-002,What gear and clothing should I pack before heading to the badminton club?
faq-002,What footwear and personal items are expected when I come to play?
faq-002,I already arranged my session. What should I bring with me on the day?
