configuration,question,expected_document_id,answer,retrieved_ids,relevance,explanation,generation_model,judge_model,error
baseline_prompt,What should I bring with me for my badminton session?,faq-002,"You should bring indoor court shoes, sports clothing, water, and a badminton racket for your badminton session.","[""faq-002"", ""course-001"", ""facility-001"", ""policy-002"", ""faq-001""]",RELEVANT,"The answer directly addresses the user's question by listing the essential items to bring for a badminton session. It is clear and complete, with no unsupported or contradictory claims.",gpt-4o-mini,gpt-4o-mini,
baseline_prompt,What is a private lesson in badminton?,course-001,A private lesson in badminton is a one-on-one coaching session customized to the player's level and goals.,"[""course-001"", ""course-002"", ""dropin-001"", ""faq-002"", ""coach-001""]",RELEVANT,"The answer clearly defines a private lesson in badminton, providing important details about its nature and purpose, without any unsupported claims.",gpt-4o-mini,gpt-4o-mini,
baseline_prompt,Can I rent equipment for badminton at the facility?,facility-001,"Yes, you can rent equipment for badminton at the facility. Rackets are available for rental at the front desk, subject to availability.","[""facility-001"", ""faq-001"", ""policy-001"", ""faq-002"", ""policy-002""]",RELEVANT,"The answer directly addresses the user's question about renting equipment at the facility, providing clear and complete information about the availability of rackets for rental.",gpt-4o-mini,gpt-4o-mini,
baseline_prompt,Where are the private lessons held?,course-001,The private lessons are held at the Main Club.,"[""policy-001"", ""course-001"", ""coach-001"", ""course-002"", ""faq-001""]",RELEVANT,The answer directly addresses the question by specifying the location of the private lessons and is clear and complete.,gpt-4o-mini,gpt-4o-mini,
baseline_prompt,Where is the beginner drop-in held?,dropin-001,The beginner drop-in is held at the Main Club.,"[""dropin-001"", ""coach-001"", ""faq-002"", ""course-001"", ""policy-002""]",RELEVANT,"The answer directly addresses the user's question by providing the location of the beginner drop-in. It is clear and complete, with no unsupported claims.",gpt-4o-mini,gpt-4o-mini,
baseline_prompt,What type of training does Coach Amy focus on?,coach-001,"Coach Amy focuses on beginner fundamentals, footwork, and junior training.","[""coach-001"", ""coach-002"", ""course-002"", ""course-001"", ""faq-002""]",RELEVANT,"The answer directly addresses the user's question by specifying the types of training Coach Amy focuses on, providing clear and complete information.",gpt-4o-mini,gpt-4o-mini,
baseline_prompt,Do I need to bring my own badminton racket?,faq-002,"You should bring your own badminton racket, but you can also rent one at the front desk if available.","[""faq-002"", ""faq-001"", ""facility-001"", ""course-002"", ""course-001""]",RELEVANT,"The answer directly addresses the question about needing to bring a badminton racket and provides additional helpful information about the option to rent one, making it clear and complete.",gpt-4o-mini,gpt-4o-mini,
baseline_prompt,Can I rent a racket when I arrive at the club?,faq-001,"Yes, you can rent a racket when you arrive at the club, subject to availability at the front desk.","[""faq-001"", ""policy-002"", ""facility-001"", ""faq-002"", ""policy-001""]",RELEVANT,"The answer directly addresses the question by confirming that rackets are available for rent at the club and specifies that it is subject to availability, making it clear and complete.",gpt-4o-mini,gpt-4o-mini,
baseline_prompt,What kind of training does Coach David focus on?,coach-002,"Coach David focuses on intermediate and advanced singles strategy, movement, and match preparation.","[""coach-002"", ""coach-001"", ""course-002"", ""course-001"", ""faq-002""]",RELEVANT,"The answer directly addresses the question by specifying the training focus of Coach David, including singles strategy, movement, and match preparation. It is clear and complete without any unsupported claims.",gpt-4o-mini,gpt-4o-mini,
baseline_prompt,What is the cancellation policy for private lessons?,policy-001,Private lessons must be cancelled at least 24 hours before the scheduled start time. Late cancellations may not be eligible for a refund.,"[""policy-001"", ""course-002"", ""course-001"", ""dropin-001"", ""coach-001""]",RELEVANT,"The answer clearly addresses the cancellation policy by specifying the 24-hour notice requirement and the consequences of late cancellations, providing complete and accurate information.",gpt-4o-mini,gpt-4o-mini,
baseline_prompt,What time should I arrive before my court booking?,policy-002,You should arrive at least 10 minutes before your court booking.,"[""policy-002"", ""faq-002"", ""policy-001"", ""facility-001""]",RELEVANT,"The answer directly addresses the question by specifying a time to arrive before the court booking, and it is clear and complete without any unsupported claims.",gpt-4o-mini,gpt-4o-mini,
baseline_prompt,Can I get coaching tailored to my skill level during a private lesson?,course-001,"Yes, you can get coaching tailored to your skill level during a private lesson, as it is a one-on-one coaching session customized to the player's level and goals.","[""course-002"", ""course-001"", ""policy-001"", ""coach-001"", ""faq-002""]",RELEVANT,"The answer directly addresses the question, clearly stating that coaching can be tailored to the individual's skill level during a private lesson.",gpt-4o-mini,gpt-4o-mini,
baseline_prompt,Are there any specific time slots available for court bookings?,policy-002,The information is not available.,"[""policy-002"", ""faq-001"", ""facility-001"", ""dropin-001"", ""policy-001""]",NON_RELEVANT,The answer does not address the user's question regarding specific time slots for court bookings and simply states that information is unavailable without providing any context or alternatives.,gpt-4o-mini,gpt-4o-mini,
baseline_prompt,Can I get coaching from Coach David if I'm an intermediate player?,coach-002,"Yes, you can get coaching from Coach David if you're an intermediate player, as he specializes in intermediate and advanced singles strategy.","[""coach-002"", ""coach-001"", ""course-001""]",RELEVANT,The answer directly addresses the user's question by confirming that intermediate players can receive coaching from Coach David and provides relevant detail about his specialization.,gpt-4o-mini,gpt-4o-mini,
baseline_prompt,Is Coach Amy available for teaching juniors?,coach-001,"Yes, Coach Amy is available for teaching juniors as she specializes in junior training.","[""coach-001"", ""coach-002"", ""dropin-001"", ""faq-001"", ""course-002""]",RELEVANT,The answer directly addresses the user's question by confirming Coach Amy's availability and specifying her specialization in junior training.,gpt-4o-mini,gpt-4o-mini,
baseline_prompt,Are there change rooms available at the club?,facility-001,"Yes, there are change rooms available at the club.","[""facility-001"", ""faq-001"", ""policy-002"", ""dropin-001"", ""policy-001""]",RELEVANT,The answer directly addresses the user's question about the availability of change rooms at the club and provides a clear and complete response.,gpt-4o-mini,gpt-4o-mini,
baseline_prompt,How much notice do I need to give to cancel a private lesson?,policy-001,You need to give at least 24 hours' notice to cancel a private lesson.,"[""course-002"", ""course-001"", ""faq-001"", ""policy-001"", ""faq-002""]",RELEVANT,The answer directly addresses the question by providing the specific information needed about the notice required for canceling a private lesson.,gpt-4o-mini,gpt-4o-mini,
baseline_prompt,Will I get a refund if I cancel my lesson late?,policy-001,Late cancellations may not be eligible for a refund.,"[""policy-001"", ""course-001"", ""course-002""]",RELEVANT,"The answer directly addresses the user's question regarding refunds for late cancellations and provides a clear, complete response without contradictions.",gpt-4o-mini,gpt-4o-mini,
