configuration,question,expected_document_id,retrieved_ids,answer_orig,answer_llm,score,reasoning,generation_model,judge_model,error
baseline_prompt,What is the cancellation policy for private lessons?,policy-001,"['policy-001', 'course-001', 'course-002', 'faq-002', 'dropin-001']","Document ID: policy-001
Category: cancellation
Title: Private lesson cancellation
Content: Private lessons must be cancelled at least 24 hours before the scheduled start time. Late cancellations may not be eligible for a refund.
Coach: 
Skill level: 
Location: Main Club",Private lessons must be cancelled at least 24 hours before the scheduled start time. Late cancellations may not be eligible for a refund.,good,The generated answer correctly states the cancellation policy for private lessons as outlined in the original knowledge-base record without omitting any crucial information.,gpt-4o-mini,gpt-4o-mini,
baseline_prompt,How much notice do I need to give to cancel a private lesson?,policy-001,"['course-001', 'course-002', 'faq-002', 'policy-001', 'faq-001']","Document ID: policy-001
Category: cancellation
Title: Private lesson cancellation
Content: Private lessons must be cancelled at least 24 hours before the scheduled start time. Late cancellations may not be eligible for a refund.
Coach: 
Skill level: 
Location: Main Club",You need to give at least 24 hours' notice to cancel a private lesson.,good,"The generated answer accurately reflects the information in the original knowledge record about the cancellation policy for private lessons, stating the requirement of 24 hours' notice.",gpt-4o-mini,gpt-4o-mini,
baseline_prompt,Will I get a refund if I cancel my lesson late?,policy-001,"['course-001', 'policy-001', 'course-002']","Document ID: policy-001
Category: cancellation
Title: Private lesson cancellation
Content: Private lessons must be cancelled at least 24 hours before the scheduled start time. Late cancellations may not be eligible for a refund.
Coach: 
Skill level: 
Location: Main Club",Late cancellations may not be eligible for a refund.,good,"The generated answer accurately reflects the information provided in the original knowledge base record regarding late cancellations and refunds. It correctly points out that late cancellations might not qualify for a refund, addressing the user's query directly without contradicting any details.",gpt-4o-mini,gpt-4o-mini,
baseline_prompt,How long can I book a court for my practice session?,policy-002,"['facility-001', 'policy-002', 'course-001', 'faq-002', 'faq-001']","Document ID: policy-002
Category: booking
Title: Court booking duration
Content: Court bookings are available in 60-minute time slots. Customers should arrive at least 10 minutes before the booking.
Coach: 
Skill level: 
Location: Main Club",You can book a court for your practice session in 60-minute time slots.,good,"The generated answer addresses the user's question accurately by stating that court bookings are available in 60-minute time slots, which is the essential information provided in the knowledge record.",gpt-4o-mini,gpt-4o-mini,
baseline_prompt,What time should I arrive before my court booking?,policy-002,"['policy-002', 'faq-002', 'facility-001', 'policy-001']","Document ID: policy-002
Category: booking
Title: Court booking duration
Content: Court bookings are available in 60-minute time slots. Customers should arrive at least 10 minutes before the booking.
Coach: 
Skill level: 
Location: Main Club",You should arrive at least 10 minutes before your court booking.,good,"The generated answer accurately reflects the information provided in the original knowledge-base record, specifying the required arrival time before the court booking.",gpt-4o-mini,gpt-4o-mini,
baseline_prompt,Are there any specific time slots available for court bookings?,policy-002,"['policy-002', 'facility-001', 'faq-001', 'dropin-001', 'policy-001']","Document ID: policy-002
Category: booking
Title: Court booking duration
Content: Court bookings are available in 60-minute time slots. Customers should arrive at least 10 minutes before the booking.
Coach: 
Skill level: 
Location: Main Club",I don't have enough information in the club knowledge base to answer that.,bad,"The generated answer fails to provide any information about specific time slots for court bookings, despite the original knowledge record stating that court bookings are available in 60-minute time slots. Therefore, it does not address the user's question.",gpt-4o-mini,gpt-4o-mini,
baseline_prompt,Is there a drop-in session for beginners at the club?,dropin-001,"['dropin-001', 'course-001', 'faq-001', 'facility-001', 'policy-002']","Document ID: dropin-001
Category: dropin
Title: Beginner drop-in
Content: The beginner drop-in is suitable for new and recreational players. Registration is required and spaces are limited.
Coach: 
Skill level: beginner
Location: Main Club","Yes, there is a beginner drop-in session at the club. Registration is required and spaces are limited.",good,The generated answer accurately reflects the information in the original knowledge record regarding the existence of a beginner drop-in session and includes the important details about registration and limited spaces. It correctly addresses the user's question without omitting any crucial elements.,gpt-4o-mini,gpt-4o-mini,
baseline_prompt,Do I need to register to attend the beginner drop-in?,dropin-001,"['dropin-001', 'faq-002', 'coach-001', 'faq-001', 'course-001']","Document ID: dropin-001
Category: dropin
Title: Beginner drop-in
Content: The beginner drop-in is suitable for new and recreational players. Registration is required and spaces are limited.
Coach: 
Skill level: beginner
Location: Main Club","Yes, registration is required to attend the beginner drop-in.",good,"The generated answer correctly states that registration is required to attend the beginner drop-in, which aligns with the information provided in the knowledge record.",gpt-4o-mini,gpt-4o-mini,
baseline_prompt,Where is the beginner drop-in held?,dropin-001,"['dropin-001', 'coach-001', 'faq-002', 'course-001', 'policy-002']","Document ID: dropin-001
Category: dropin
Title: Beginner drop-in
Content: The beginner drop-in is suitable for new and recreational players. Registration is required and spaces are limited.
Coach: 
Skill level: beginner
Location: Main Club",The beginner drop-in is held at the Main Club.,good,"The generated answer accurately indicates that the beginner drop-in is held at the Main Club, which matches the information provided in the original knowledge-base record.",gpt-4o-mini,gpt-4o-mini,
baseline_prompt,What type of training does Coach Amy focus on?,coach-001,"['coach-001', 'coach-002', 'faq-002', 'course-002', 'course-001']","Document ID: coach-001
Category: coach
Title: Coach Amy profile
Content: Coach Amy specializes in beginner fundamentals, footwork and junior training. She teaches private and semi-private lessons.
Coach: Coach Amy
Skill level: beginner
Location: Main Club","Coach Amy focuses on beginner fundamentals, footwork, and junior training.",good,The generated answer accurately reflects the information from the original knowledge record regarding Coach Amy's focus areas.,gpt-4o-mini,gpt-4o-mini,
